location_id,connection_count,connectivity_tier,avg_segment_distance,min_segment_distance,max_segment_distance
IND531162AAA,2,low,8.474213333333333,1.0515,16.3183
IND531163AAA,2,low,8.263995945945947,0.0,16.0727
IND532001AAB,8,medium,12.797336474164133,0.0,117.8027
IND532127AAA,2,low,16.838139423076925,1.1801,48.4348
IND532201AAA,4,medium,15.245489610389608,0.0,33.2699
IND532222AAA,3,medium,29.92386363636364,0.81,73.405
IND532421AAA,2,low,15.507304225352108,0.0,31.4847
IND532440AAA,2,low,21.7846,4.1828,37.349
IND533003AAA,3,medium,22.30543636363636,6.086399999999999,37.1697
IND533106AAA,10,medium,25.302363100775196,1.2423,136.4208
IND533201AAA,3,medium,26.24926285714286,1.0609000000000002,136.4208
IND533242AAA,2,low,27.8293875,20.5013,40.2721
IND533262AAA,2,low,24.910161111111112,1.0609000000000002,45.5446
IND533308AAB,3,medium,26.424684615384614,1.2423,44.6061
IND533401AAA,3,medium,23.570961111111107,8.1832,44.6061
IND534001AAA,3,medium,22.918385714285712,14.8744,26.1887
IND534260AAC,1,low,22.810555555555556,10.7254,34.1716
IND535001AAA,2,low,11.670841441441445,0.4873,103.8863
IND535501AAB,3,medium,17.759524358974357,0.0,31.401
IND535558AAA,2,low,13.254748837209302,0.0,25.8767
IND535591AAA,2,low,16.621724615384615,1.1801,48.4348
IND560002AAA,3,medium,10.470699676375403,0.0,31.4661
IND560027AAA,1,low,13.909199999999998,6.1218,22.3373
IND560043AAC,5,medium,10.237953649635037,0.0,36.6833
IND560048AAB,4,medium,10.513602760736196,0.0,34.871
IND560058AAB,4,medium,9.745611022044088,0.0,31.4627
IND560058AAD,3,medium,8.446770984455958,0.0,20.586
IND560060AAB,3,medium,10.208662678062678,0.0,32.0876
IND560064AAA,1,low,6.956611842105263,0.0,14.1735
IND560064AAD,1,low,7.634303658536586,0.0,15.4103
IND560066AAB,1,low,11.4656125,8.938799999999999,16.7512
IND560067AAC,1,low,7.288793749999999,0.0,14.4921
IND560077AAA,1,low,15.566875,0.0,34.369800000000005
IND560078AAC,3,medium,11.702774216027874,4.4349,25.5304
IND560083AAB,3,medium,10.718557643312101,2.5289,42.5243
IND560085AAA,3,medium,10.585923204419888,0.0,25.8175
IND560099AAA,1,low,13.909199999999998,6.1218,22.3373
IND560099AAB,20,high,14.848868489506355,0.0,130.268
IND560099AAG,1,low,10.892,9.3301,12.4539
IND560099AAH,1,low,5.823,0.0,11.646
IND560300AAA,13,high,12.277025321888413,0.0,59.3621
IND560300AAB,5,medium,14.42066852791878,1.5691,75.0052
IND561202AAB,2,low,9.64445390625,0.0,35.649300000000004
IND561203AAB,2,low,9.375467592592592,2.4053,13.2327
IND561207AAB,3,medium,10.85887641509434,0.0,41.8453
IND562101AAA,3,medium,10.321969892473117,0.0,41.8453
IND562108AAA,2,low,10.627077049180333,0.6541,23.2441
IND562114AAA,2,low,8.065077272727272,0.0,19.8133
IND562117AAA,2,low,21.291542857142854,0.0,69.6145
IND562125AAA,2,low,9.4802,0.0,16.7946
IND562132AAA,49,hub,26.29044831856721,0.0,1394.5913999999998
IND562132AAC,1,low,29.57868461538462,17.2593,79.7122
IND562159AAA,1,low,14.07463181818182,0.0,28.9338
IND562160AAB,1,low,19.041949999999996,5.841,33.0012
IND563101AAB,4,medium,12.565330188679246,0.5702999999999999,64.603
IND563116AAA,2,low,9.32816231884058,4.1991000000000005,20.7949
IND563125AAB,4,medium,14.324375652173911,3.5971,59.3621
IND563130AAA,3,medium,10.71008125,2.3739,19.4785
IND563131AAA,2,low,10.099231666666666,1.0015,34.3852
IND563131AAB,4,medium,10.937113725490196,0.0,75.0052
IND570020AAA,7,medium,22.687061971830985,0.0,85.0601
IND571104AAA,3,medium,25.78662179487179,0.0,42.7587
IND571105AAA,2,low,21.269953846153847,1.7948,28.0406
IND571111AAB,2,low,16.907469444444445,5.7468,26.3421
IND571114AAA,3,medium,23.87624666666667,0.0,59.2321
IND571124AAA,2,low,19.998148717948716,1.7127,39.617
IND571213AAA,3,medium,24.433581632653066,0.0,85.0601
IND571301AAA,2,low,15.795569696969698,0.0,26.6545
IND571313AAB,2,low,18.352407499999998,5.7468,31.3121
IND571401AAA,2,low,16.290459459459463,0.0,33.0012
IND571426AAA,3,medium,27.65715802469136,3.7007,42.7587
IND571430AAA,3,medium,19.242936585365854,1.2773,35.9655
IND571432AAB,2,low,24.081998275862066,3.7007,38.4549
IND571438AAB,1,low,13.053411764705881,0.0,24.7471
IND571440AAA,2,low,19.361210256410256,4.7083,31.3121
IND571602AAA,1,low,21.677246428571433,1.8282,33.904300000000006
IND572101AAA,5,medium,9.883222131147543,0.6541,19.9229
IND572201AAB,4,medium,19.203747169811322,2.9294,37.9882
IND573103AAA,3,medium,24.369952173913045,2.9294,53.3972
IND573116AAA,4,medium,24.780205357142854,7.681100000000001,63.042
IND573134AAB,3,medium,21.42595714285714,0.8602000000000001,40.5869
IND573142AAA,4,medium,22.000236363636365,0.0,39.8678
IND573201AAB,7,medium,24.334883285302592,3.3143,103.9837
IND574104AAA,2,low,10.654212676056337,1.6097,28.0492
IND574117AAA,3,medium,18.172226666666667,2.3683,31.605
IND574202AAA,2,low,16.786915,0.0,28.3031
IND574211AAA,3,medium,18.483835,0.0,28.8742
IND574216AAA,4,medium,13.304132978723407,0.0,39.4126
IND574221AAA,2,low,34.50024545454545,9.5422,239.7994
IND574227AAA,2,low,9.560996,1.6097,15.8234
IND574239AAA,2,low,23.20951052631579,4.8632,36.9414
IND575004AAB,13,high,25.088907624633435,0.0,103.9837
IND575014AAA,2,low,24.75896666666667,8.0878,34.6111
IND576101AAA,3,medium,20.461827272727273,3.8999,30.2212
IND576201AAA,3,medium,21.72690588235294,2.3683,26.6555
IND577002AAA,6,medium,15.821067407407408,1.2378,69.24119999999999
IND577101AAA,4,medium,22.015105128205132,0.0,40.5869
IND577116AAA,3,medium,23.059003125,4.8796,33.1241
IND577126AAA,2,low,24.203675,2.274,57.026300000000006
IND577132AAD,2,low,17.860526470588237,0.0,38.4312
IND577201AAA,5,medium,25.599161481481477,0.0,57.026300000000006
IND577401AAA,3,medium,25.305328571428575,0.0,41.515800000000006
IND577432AAA,2,low,29.7488,27.2213,32.9665
IND577501AAA,3,medium,21.325004999999997,9.2569,29.062900000000003
IND577522AAA,2,low,21.92857090909091,0.0,35.9015
IND577535AAC,2,low,19.290468333333333,0.0,46.2821
IND577598AAB,2,low,19.442901234567906,0.0,39.8678
IND577598AAC,2,low,23.75780975609756,15.7359,31.4084
IND580002AAA,2,low,18.760576923076922,0.0,30.4431
IND580028AAA,14,high,25.60184756258235,0.0,616.7346
IND580030AAA,1,low,23.75926,8.0154,31.547
IND581110AAE,3,medium,9.292745812807881,0.0,69.24119999999999
IND581115AAC,2,low,9.287916,3.3351,32.2471
IND581119AAB,2,low,10.952644,0.0,38.7318
IND581303AAA,3,medium,26.361947887323947,1.1996,63.5104
IND581314AAA,4,medium,22.28528309859155,0.0,37.2438
IND581320AAA,3,medium,22.152483333333333,9.0313,27.9279
