route_schedule_uuid,num_trips,route_total_distance,route_driving_time,route_start_time,route_end_time,route_shift_duration,route_total_time,route_start_location,route_end_location
thanos::sroute:0ac760f3-96cb-4046-bfd0-8bc467805780,10,2012.9929,3152.0,2018-09-12 04:33:09.726898,2018-10-04 06:25:37.976768,31792.470831166665,31792.470831166665,IND487001AAB,IND464668AAA
thanos::sroute:0acd8eff-4a2f-445c-b5d1-524fa6103f1c,2,28.787799999999997,46.0,2018-09-29 18:27:10.727311,2018-10-01 19:42:16.362461,2955.0939191666666,2955.0939191666666,IND110044AAB,IND110030AAD
thanos::sroute:0ad372b1-418a-4685-873a-bc356d1c5f27,12,500.96750000000003,943.0,2018-09-12 01:10:44.915124,2018-09-29 05:56:10.469245,24765.42590201667,24765.42590201667,IND600044AAE,IND600056AAB
thanos::sroute:0b175e79-8058-4ea1-8be8-29569ca1fa26,1,24.299300000000002,80.0,2018-09-29 07:56:06.752760,2018-09-29 10:48:16.579536,172.1637796,172.1637796,IND000000AFT,IND421302AAG
thanos::sroute:0c4a9769-9bcb-44c2-8af6-ed183e77bafe,4,231.31529999999998,517.0,2018-09-12 03:01:16.516790,2018-09-15 05:42:00.912960,4480.739936166667,4480.739936166667,IND000000ACB,IND110030AAD
thanos::sroute:0c56ba23-4c66-4ae8-b501-5a29594d4dc0,5,792.8008,4168.0,2018-09-25 20:33:25.265901,2018-10-04 04:45:27.390781,12012.035414666667,12012.035414666667,IND712311AAA,IND741201AAC
thanos::sroute:0c5d480a-35b8-4def-9ff6-698ae2357c18,12,447.143,1215.0,2018-09-17 15:10:14.516249,2018-09-29 17:37:14.110572,17426.993238716666,17426.993238716666,IND421302AAG,IND400102AAC
thanos::sroute:0c95354f-538c-4af0-8e4e-54971f38e311,3,578.8317999999999,900.0,2018-09-12 19:02:58.589306,2018-09-17 06:02:39.461368,6419.681201033333,6419.681201033333,IND125005AAA,IND331701AAA
thanos::sroute:0c9755a6-d0b7-4dd0-b3a6-b5ea8d0c3b18,16,4650.2305,3318.0,2018-09-12 19:00:27.414055,2018-10-04 03:05:49.023768,30725.360161883335,30725.360161883335,IND000000ACB,IND201301AAM
thanos::sroute:0c9803dd-e3c0-495a-bfc3-033de747bebe,8,338.2536,2570.0,2018-09-13 09:16:06.358130,2018-09-21 07:53:52.856889,11437.774979316666,11437.774979316666,IND134109AAA,IND140603AAA
thanos::sroute:0cac1ae6-f4c5-436e-8606-2cb36ea621f3,10,441.118,1072.0,2018-09-13 00:43:29.650961,2018-09-30 06:12:49.634517,24809.333059266668,24809.333059266668,IND110037AAK,IND000000ACB
thanos::sroute:0cae1e72-f1f1-4112-a964-079f0c477c2d,10,188.8041,900.0,2018-09-13 17:00:59.135331,2018-09-30 21:20:16.084346,24739.28248358333,24739.28248358333,IND712311AAA,IND700028AAB
thanos::sroute:0cc497bc-6980-4426-96d3-4394f4d666df,4,201.83339999999998,307.0,2018-09-28 17:00:42.481657,2018-10-03 23:38:29.023458,7597.775696683334,7597.775696683334,IND562132AAA,IND560099AAB
thanos::sroute:0cc5301d-c0ff-49ef-8354-97bc1c1d1de5,5,289.5035,644.0,2018-09-18 22:08:03.966903,2018-10-03 02:08:03.367070,20399.990002783332,20399.990002783332,IND560300AAA,IND560099AAB
