source_center,destination_center,median,count,std
IND201001AAA,IND201007AAA,10.5612,5,0.34939603603933445
IND201001AAC,IND000000ACB,348.567,1,
IND201001AAC,IND110037AAM,47.85105,2,3.0696212478089198
IND201007AAA,IND201001AAA,10.4857,4,0.6516719087598198
IND201007AAA,IND201005AAA,10.438400000000001,2,0.04270924958366779
IND201007AAA,IND201007AAB,15.2666,1,
IND201007AAA,IND245101AAA,45.9469,2,0.13816866504384842
IND201007AAA,IND245304AAA,59.135400000000004,2,0.12148094500784459
IND201007AAB,IND110044AAB,35.2384,10,4.236140070197555
IND201007AAB,IND201007AAA,11.77685,2,0.5847065973631569
IND201007AAB,IND201301AAF,13.0087,5,0.5329006633510599
IND201204AAA,IND250002AAA,22.3762,1,
IND201301AAF,IND201304AAA,10.8301,1,
IND201301AAF,IND203135AAA,100.8361,1,
IND201301AAL,IND201301AAF,22.5996,1,
IND201301AAM,IND000000ACB,168.5874,27,127.48075648346764
IND201304AAA,IND201301AAF,11.6079,8,1.1788735579841825
IND201306AAA,IND201301AAF,20.2879,7,1.5478622240890514
IND201306AAA,IND201304AAA,13.3995,1,
IND201307AAA,IND201301AAF,43.4764,9,4.378769068185711
IND201307AAA,IND201301AAL,18.84315,14,1.6928625368857364
IND202001AAB,IND207123AAA,158.1462,1,
IND202001AAB,IND282002AAD,92.135,1,
IND202001AAC,IND202001AAB,214.42755,4,45.26981235753763
IND203001AAA,IND201301AAF,157.3877,1,
IND203131AAA,IND201301AAF,227.8097,1,
IND204215AAA,IND202001AAB,142.25265000000002,2,0.23355736982592248
IND205001AAB,IND110037AAM,382.63325,4,60.50433825720681
IND205001AAB,IND207247AAB,289.1372,1,
IND205001AAB,IND241124AAB,133.0498,1,
IND205135AAA,IND110037AAM,361.4482,1,
IND205135AAA,IND283203AAA,21.7881,3,0.27589803068041757
IND208017AAA,IND209304AAA,60.5429,1,
IND208019AAA,IND209304AAA,49.3634,1,
IND209101AAA,IND209304AAA,409.34955,2,58.18520072875065
IND209101AAA,IND285205AAB,146.2945,1,
IND209111AAA,IND285205AAB,80.18809999999999,3,0.6801456339147736
IND209304AAA,IND000000ACB,564.88495,8,37.05930435687556
IND209304AAA,IND110037AAM,524.50185,10,63.95599251587938
IND209304AAA,IND206122AAA,181.853,1,
IND209304AAA,IND208006AAA,30.6427,11,46.024075918308036
IND209304AAA,IND208012AAA,95.801,8,40.164504880408934
IND209304AAA,IND208019AAA,16.78155,8,28.28862588209198
IND209304AAA,IND209206AAB,95.9749,1,
IND209304AAA,IND209801AAA,124.0773,15,42.01018101749464
IND209304AAA,IND210001AAA,259.11585,6,35.88152784567569
IND209304AAA,IND210301AAA,119.7436,3,0.44811128082208046
IND209304AAA,IND210427AAA,293.7967,1,
IND209304AAA,IND285001AAD,177.9555,1,
IND209304AAA,IND285205AAB,142.4104,12,33.43968111918765
IND209625AAA,IND205001AAB,239.7379,1,
IND210501AAB,IND209304AAA,115.24665,2,0.025385133444595673
IND211002AAB,IND000000ACB,892.06205,8,53.08461914926656
IND211002AAB,IND209304AAA,234.3052,2,0.26771062735720086
IND211002AAB,IND211013AAA,21.9168,3,2.637333244649476
IND211002AAB,IND212402AAA,67.4567,1,
IND211002AAB,IND485001AAC,184.90064999999998,2,0.11844038584874952
IND211002AAB,IND486661AAA,375.09815000000003,4,8.039465232370864
IND211002AAB,IND486771AAA,346.39015,2,2.800496406889339
IND211008AAA,IND211002AAB,24.3104,2,1.1025208932260628
IND211010AAB,IND211002AAB,9.8043,1,
IND211011AAA,IND211002AAB,106.4466,1,
IND221010AAB,IND222136AAA,75.658,1,
IND221010AAB,IND232104AAB,53.2764,1,
IND221010AAB,IND233001AAA,80.09230000000001,1,
IND221010AAB,IND275101AAA,120.9744,1,
IND221303AAA,IND231001AAA,29.27005,2,0.024536605307173793
IND221313AAA,IND000000ACB,1103.331,5,87.0390019899987
IND221313AAA,IND209304AAA,468.0215,1,
IND221313AAA,IND221005A1A,24.9024,1,
IND221313AAA,IND221010AAA,9.6548,1,
IND221313AAA,IND222001AAA,182.0768,1,
IND221313AAA,IND222125AAB,205.67880000000002,2,37.69020565080534
IND221313AAA,IND231001AAA,94.4241,1,
IND221313AAA,IND232104AAB,57.617900000000006,1,
IND221313AAA,IND233221AAC,171.1972,2,28.304353080047584
IND221401AAA,IND221303AAA,17.544900000000002,1,
IND224001AAA,IND224122AAA,63.43405,12,3.6853861607213383
IND224001AAA,IND224141AAB,33.9283,1,
IND224141AAB,IND224122AAA,27.3509,5,0.4979510317290249
IND226004AAA,IND226016AAA,33.78775,6,6.2843286676462125
IND226004AAA,IND226024AAA,19.077,1,
IND231208AAA,IND231205AAA,206.3003,1,
IND231208AAA,IND231216AAA,229.4871,5,3.5354737565141168
IND231217AAA,IND231216AAA,193.5757,1,
IND232101AAB,IND221010AAB,58.9947,1,
IND232101AAB,IND232104AAB,13.3754,1,
IND232101AAB,IND232327AAA,97.0589,1,
IND233001AAA,IND275503AAA,58.48945,2,1.8767321079472155
IND233001AAA,IND276140AAA,84.4909,1,
IND243001AAA,IND244901AAB,138.3397,1,
IND243201AAA,IND244901AAB,231.975,1,
IND243301AAB,IND244901AAB,68.8464,3,0.5637852901001766
IND244001AAA,IND131028AAB,447.8063,1,
IND244301AAA,IND244901AAC,195.78334999999998,2,0.3358050103854951
IND244412AAA,IND244901AAB,140.12245000000001,2,85.31575655202853
IND244901AAB,IND243002AAA,73.3914,1,
IND244901AAB,IND243301AAB,230.0022,1,
IND244901AAB,IND243503AAB,102.0458,4,58.50877878668436
IND244901AAB,IND244412AAA,133.4441,1,
IND244901AAB,IND244501AAA,314.1056,2,5.157354019262242
IND244901AAB,IND244921AAB,31.823,1,
IND244901AAB,IND246701AAA,171.2223,1,
IND244901AAB,IND246725AAB,140.697,1,
IND244901AAB,IND262122AAB,142.20595,2,35.14865174718655
IND244901AAC,IND244901AAB,300.8669,1,
IND245101AAA,IND201007AAA,48.5795,3,6.994528756344729
IND245304AAA,IND201007AAA,61.6272,3,5.793492896632685
IND246001AAA,IND249201AAA,109.2585,1,
IND246174AAA,IND246424AAA,92.9589,1,
IND246174AAA,IND246444AAB,61.947,1,
IND246424AAA,IND246174AAA,90.9566,1,
IND246424AAA,IND246444AAB,151.1858,1,
IND246444AAB,IND246174AAA,122.3031,1,
IND246701AAA,IND244901AAB,283.89549999999997,2,19.934047268429964
